code_num,code_raw,freq,label_text
3710,3710,25402,NA
4205,4205,23226,NA
3010,3010,21677,NA
4107,4107,20821,NA
3711,3711,19782,NA
3011,3011,16423,NA
4206,4206,15101,NA
3712,3712,14358,NA
3012,3012,12296,NA
4108,4108,12261,NA
4003,4003,11468,NA
1609,1609,10429,NA
2011,2011,9841,NA
3713,3713,9747,NA
1506,1506,9707,NA
3013,3013,9029,NA
3106,3106,8728,NA
4207,4207,8273,NA
206,0206,8153,NA
2904,2904,7974,NA
108,0108,7909,NA
506,0506,7855,NA
704,0704,7232,NA
4806,4806,6734,NA
4109,4109,6565,NA
3014,3014,6320,NA
3714,3714,6276,NA
1804,1804,6216,NA
4706,4706,6101,NA
5005,5005,5426,NA
1107,1107,4902,NA
2105,2105,4573,NA
3606,3606,4499,NA
3015,3015,4293,NA
1610,1610,4282,NA
4904,4904,3991,NA
2305,2305,3970,NA
4208,4208,3850,NA
4603,4603,3831,NA
3715,3715,3718,NA
4110,4110,3386,NA
3904,3904,3209,NA
2012,2012,3112,NA
5006,5006,3032,NA
305,0305,2914,NA
3016,3016,2856,NA
407,0407,2513,NA
810,0810,2308,NA
4305,4305,2179,NA
3716,3716,2099,NA
3107,3107,2056,NA
2405,2405,2001,NA
1404,1404,1982,NA
907,0907,1954,NA
2205,2205,1857,NA
4406,4406,1827,NA
4111,4111,1825,NA
4707,4707,1822,NA
3017,3017,1808,NA
4807,4807,1798,NA
1611,1611,1731,NA
1703,1703,1690,NA
3404,3404,1638,NA
4209,4209,1620,NA
5007,5007,1616,NA
1507,1507,1570,NA
4004,4004,1448,NA
207,0207,1422,NA
3802,3802,1379,NA
507,0507,1371,NA
3717,3717,1160,NA
3018,3018,1132,NA
109,0109,1090,NA
2013,2013,999,NA
4112,4112,945,NA
2905,2905,898,NA
3607,3607,862,NA
1805,1805,825,NA
4604,4604,820,NA
4905,4905,817,NA
3503,3503,781,NA
5008,5008,756,NA
4708,4708,689,NA
1405,1405,638,NA
3718,3718,633,NA
4210,4210,618,NA
1612,1612,593,NA
1002,1002,562,NA
4808,4808,534,NA
4113,4113,509,NA
1108,1108,478,NA
5009,5009,378,NA
3108,3108,373,NA
2014,2014,357,NA
1406,1406,346,NA
811,0811,328,NA
4605,4605,276,NA
4114,4114,263,NA
208,0208,243,NA
4211,4211,231,NA
603,0603,228,NA
508,0508,216,NA
3905,3905,215,NA
2306,2306,213,NA
1407,1407,212,NA
1905,1905,211,NA
4407,4407,202,NA
2106,2106,201,NA
3304,3304,201,NA
2206,2206,192,NA
4906,4906,185,NA
1613,1613,181,NA
2015,2015,160,NA
4809,4809,160,NA
2703,2703,157,NA
408,0408,156,NA
4306,4306,147,NA
4709,4709,145,NA
110,0110,140,NA
1408,1408,139,NA
4115,4115,135,NA
908,0908,119,NA
2906,2906,112,NA
1704,1704,110,NA
1806,1806,104,NA
1508,1508,103,NA
4005,4005,96,NA
3608,3608,90,NA
2016,2016,89,NA
812,0812,88,NA
4606,4606,88,NA
705,0705,82,NA
4212,4212,77,NA
1409,1409,71,NA
4116,4116,70,NA
3204,3204,68,NA
1109,1109,61,NA
4810,4810,57,NA
2804,2804,56,NA
3405,3405,53,NA
209,0209,52,NA
3109,3109,52,NA
2406,2406,50,NA
1614,1614,49,NA
509,0509,48,NA
2017,2017,48,NA
3719,3719,44,NA
4907,4907,43,NA
4710,4710,41,NA
1410,1410,36,NA
4117,4117,36,NA
813,0813,34,NA
1003,1003,29,NA
4213,4213,28,NA
4607,4607,26,NA
2018,2018,25,NA
306,0306,24,NA
2207,2207,21,NA
4118,4118,21,NA
111,0111,19,NA
814,0814,19,NA
4307,4307,19,NA
4502,4502,18,NA
909,0909,16,NA
1807,1807,16,NA
4408,4408,16,NA
4811,4811,16,NA
210,0210,15,NA
1411,1411,15,NA
4711,4711,15,NA
1615,1615,14,NA
3019,3019,14,NA
4908,4908,14,NA
3720,3720,13,NA
4214,4214,13,NA
409,0409,11,NA
2503,2503,11,NA
815,0815,10,NA
1412,1412,9,NA
1509,1509,8,NA
3110,3110,8,NA
4608,4608,8,NA
510,0510,7,NA
1705,1705,7,NA
2307,2307,7,NA
4712,4712,7,NA
4812,4812,7,NA
816,0816,5,NA
910,0910,5,NA
3609,3609,5,NA
4215,4215,5,NA
112,0112,4,NA
211,0211,4,NA
1110,1110,4,NA
1616,1616,4,NA
2208,2208,4,NA
3906,3906,4,NA
4609,4609,4,NA
4813,4813,4,NA
4909,4909,4,NA
511,0511,3,NA
817,0817,3,NA
1413,1413,3,NA
1906,1906,3,NA
4119,4119,3,NA
4713,4713,3,NA
604,0604,2,NA
1004,1004,2,NA
1302,1302,2,NA
1808,1808,2,NA
2107,2107,2,NA
2209,2209,2,NA
2407,2407,2,NA
2603,2603,2,NA
3111,3111,2,NA
3803,3803,2,NA
4120,4120,2,NA
4121,4121,2,NA
4308,4308,2,NA
113,0113,1,NA
212,0212,1,NA
410,0410,1,NA
706,0706,1,NA
818,0818,1,NA
1111,1111,1,NA
1414,1414,1,NA
1415,1415,1,NA
1416,1416,1,NA
2704,2704,1,NA
2805,2805,1,NA
2907,2907,1,NA
3205,3205,1,NA
3406,3406,1,NA
3721,3721,1,NA
4006,4006,1,NA
4610,4610,1,NA
4910,4910,1,NA
