year,code_num,code_raw,label_text,freq
2007,3710,3710,NA,16551
2007,4205,4205,NA,14388
2007,3010,3010,NA,13398
2007,3711,3711,NA,11863
2007,4107,4107,NA,10459
2007,3011,3011,NA,9373
2007,3712,3712,NA,7792
2007,4206,4206,NA,7371
2007,3012,3012,NA,6513
2007,3106,3106,NA,6490
2007,4003,4003,NA,6283
2007,1609,1609,NA,6019
2007,2011,2011,NA,5312
2007,1506,1506,NA,5133
2007,3713,3713,NA,4680
2007,4108,4108,NA,4437
2007,3013,3013,NA,4291
2007,206,206,NA,3996
2007,4806,4806,NA,3851
2007,5005,5005,NA,3386
2007,2904,2904,NA,3384
2007,4706,4706,NA,3167
2007,108,108,NA,3076
2007,4207,4207,NA,3072
2007,506,506,NA,2979
2007,1107,1107,NA,2597
2007,4904,4904,NA,2591
2007,3714,3714,NA,2562
2007,1804,1804,NA,2516
2007,3014,3014,NA,2464
2007,1610,1610,NA,2207
2007,3606,3606,NA,2007
2007,810,810,NA,1788
2007,4109,4109,NA,1763
2007,5006,5006,NA,1745
2007,4305,4305,NA,1619
2007,3107,3107,NA,1553
2007,2012,2012,NA,1531
2007,1404,1404,NA,1517
2007,3015,3015,NA,1430
2007,3904,3904,NA,1386
2007,4603,4603,NA,1350
2007,2105,2105,NA,1275
2007,3715,3715,NA,1270
2007,2305,2305,NA,1162
2007,4406,4406,NA,875
2007,4807,4807,NA,848
2007,4707,4707,NA,841
2007,907,907,NA,840
2007,2405,2405,NA,809
2007,3404,3404,NA,794
2007,5007,5007,NA,783
2007,2205,2205,NA,781
2007,3016,3016,NA,748
2007,4110,4110,NA,695
2007,1611,1611,NA,689
2007,4208,4208,NA,684
2007,3716,3716,NA,603
2007,1703,1703,NA,540
2007,4905,4905,NA,529
2007,207,207,NA,517
2007,1507,1507,NA,492
2007,4004,4004,NA,486
2007,3802,3802,NA,482
2007,2013,2013,NA,448
2007,1405,1405,NA,446
2007,5008,5008,NA,359
2007,507,507,NA,333
2007,3017,3017,NA,330
2007,4708,4708,NA,306
2007,305,305,NA,302
2007,3108,3108,NA,290
2007,4111,4111,NA,288
2007,109,109,NA,285
2007,3717,3717,NA,281
2007,2905,2905,NA,266
2007,1406,1406,NA,252
2007,3607,3607,NA,237
2007,1108,1108,NA,229
2007,3503,3503,NA,219
2007,1002,1002,NA,216
2007,1805,1805,NA,204
2007,811,811,NA,189
2007,1612,1612,NA,187
2007,4808,4808,NA,176
2007,5009,5009,NA,175
2007,3018,3018,NA,167
2007,1407,1407,NA,148
2007,4209,4209,NA,148
2007,4604,4604,NA,143
2007,704,704,NA,134
2007,4306,4306,NA,126
2007,1408,1408,NA,115
2007,3718,3718,NA,114
2007,4906,4906,NA,112
2007,2014,2014,NA,111
2007,1409,1409,NA,108
2007,4112,4112,NA,88
2007,3905,3905,NA,86
2007,2703,2703,NA,82
2007,1613,1613,NA,80
2007,3019,3019,NA,80
2007,3204,3204,NA,79
2007,2206,2206,NA,66
2007,208,208,NA,62
2007,1704,1704,NA,60
2007,812,812,NA,42
2007,1614,1614,NA,42
2007,407,407,NA,41
2007,3109,3109,NA,41
2007,4809,4809,NA,41
2007,908,908,NA,37
2007,4502,4502,NA,36
2007,4113,4113,NA,34
2007,4210,4210,NA,34
2007,2106,2106,NA,33
2007,3719,3719,NA,33
2007,1508,1508,NA,32
2007,4709,4709,NA,32
2007,603,603,NA,31
2007,1003,1003,NA,25
2007,1806,1806,NA,25
2007,4005,4005,NA,24
2007,2306,2306,NA,23
2007,1109,1109,NA,22
2007,4407,4407,NA,20
2007,4605,4605,NA,20
2007,4907,4907,NA,20
2007,110,110,NA,19
2007,3304,3304,NA,19
2007,508,508,NA,17
2007,2015,2015,NA,16
2007,2906,2906,NA,15
2007,4114,4114,NA,14
2007,4810,4810,NA,14
2007,1615,1615,NA,12
2007,306,306,NA,11
2007,1905,1905,NA,10
2007,2207,2207,NA,9
2007,2603,2603,NA,8
2007,4710,4710,NA,8
2007,2406,2406,NA,7
2007,3405,3405,NA,7
2007,3608,3608,NA,7
2007,4115,4115,NA,7
2007,4307,4307,NA,7
2007,209,209,NA,6
2007,2503,2503,NA,6
2007,1004,1004,NA,5
2007,4211,4211,NA,5
2007,2804,2804,NA,4
2007,3906,3906,NA,4
2007,3110,3110,NA,3
2007,4711,4711,NA,3
2007,408,408,NA,2
2007,705,705,NA,2
2007,813,813,NA,2
2007,909,909,NA,2
2007,1202,1202,NA,2
2007,1509,1509,NA,2
2007,1705,1705,NA,2
2007,2016,2016,NA,2
2007,2107,2107,NA,2
2007,4811,4811,NA,2
2007,4908,4908,NA,2
2007,4909,4909,NA,2
2007,4910,4910,NA,2
2007,111,111,NA,1
2007,814,814,NA,1
2007,1110,1110,NA,1
2007,1302,1302,NA,1
2007,1410,1410,NA,1
2007,1616,1616,NA,1
2007,1807,1807,NA,1
2007,1906,1906,NA,1
2007,2017,2017,NA,1
2007,2018,2018,NA,1
2007,2108,2108,NA,1
2007,2407,2407,NA,1
2007,2704,2704,NA,1
2007,4308,4308,NA,1
2007,4606,4606,NA,1
2007,4607,4607,NA,1
2007,4812,4812,NA,1
2007,4911,4911,NA,1
2008,3710,3710,NA,16039
2008,4205,4205,NA,13702
2008,3010,3010,NA,13644
2008,3711,3711,NA,11445
2008,4107,4107,NA,11098
2008,3011,3011,NA,9581
2008,3712,3712,NA,7560
2008,4206,4206,NA,7346
2008,3012,3012,NA,6683
2008,4003,4003,NA,6134
2008,1609,1609,NA,5895
2008,3106,3106,NA,5746
2008,2011,2011,NA,5104
2008,1506,1506,NA,5059
2008,4108,4108,NA,4820
2008,3013,3013,NA,4448
2008,3713,3713,NA,4418
2008,206,0206,NA,4323
2008,5005,5005,NA,4277
2008,4806,4806,NA,3805
2008,4706,4706,NA,3524
2008,2904,2904,NA,3522
2008,506,0506,NA,3517
2008,108,0108,NA,3324
2008,4207,4207,NA,3109
2008,1804,1804,NA,2741
2008,4904,4904,NA,2671
2008,3014,3014,NA,2651
2008,1107,1107,NA,2642
2008,3714,3714,NA,2427
2008,5006,5006,NA,2401
2008,1610,1610,NA,2100
2008,3606,3606,NA,2096
2008,4109,4109,NA,1903
2008,2105,2105,NA,1819
2008,4603,4603,NA,1594
2008,810,0810,NA,1553
2008,3015,3015,NA,1546
2008,4305,4305,NA,1487
2008,1404,1404,NA,1413
2008,2012,2012,NA,1395
2008,3904,3904,NA,1335
2008,2305,2305,NA,1262
2008,3107,3107,NA,1239
2008,3715,3715,NA,1221
2008,5007,5007,NA,1166
2008,4707,4707,NA,992
2008,3016,3016,NA,845
2008,4807,4807,NA,839
2008,4406,4406,NA,834
2008,907,0907,NA,788
2008,2405,2405,NA,759
2008,4110,4110,NA,754
2008,2205,2205,NA,736
2008,3404,3404,NA,708
2008,4208,4208,NA,702
2008,1611,1611,NA,659
2008,207,0207,NA,635
2008,3716,3716,NA,596
2008,4004,4004,NA,545
2008,4905,4905,NA,539
2008,5008,5008,NA,539
2008,1703,1703,NA,538
2008,3802,3802,NA,512
2008,1507,1507,NA,502
2008,2013,2013,NA,435
2008,507,0507,NA,430
