variable, label
 YEAR, Year
 MONTH, Month of Survey Execution
 CONGLOME, Conglomerate
 DWELLING, Housing Selection Number
 HOME, Home
 UBIGEO, District Code (Geographic Location)
 DOMAIN, Domain
 STRATUM, Geographic Stratum
 PERIOD, Survey Execution Period
 TIPENC, Cluster Selection Type
 FECENT, Final Survey Result Date (YEAR/MONTH/DAY)
 FACTOR07, Household expansion factor CPV projection 2007
 RESULT, Final Survey Result
 PANEL, Was the household interviewed last year?
 P101, Type of housing
 P102, The predominant material on the exterior walls is:
 P103, The predominant material in the floors is:
 P103A, The predominant material in the roofs is:
 P104, How many rooms in total does the house have?
P104A, How many bedrooms to sleep
 P105A, The dwelling your home occupies is:
 P105B, Monthly amount for rent or purchase of the home (in S/.)
 P106, How much do you think they would pay you for monthly rent (in S/.)?
 P106A, Does this property have a title deed?
 P107A11, Have you made an extension?
 P107A12, How many m2 extensions did you make?
 P107A13, Amount of the Extension
 P107A14, Extension already cancelled
 P107A21, Have you made any modifications?
 P107A22, How many m2 did you make modifications to?
 P107A23, Amount of the Modification
 P107A24, Modification Already Cancelled
 P107A31, Have you done new construction?
 P107A32, How many m2 did new construction make?
 P107A33, Amount of new construction
 P107A34, New Construction Already Cancelled
 P107A41, He did nothing
 P10811, Was this work financed with: Own Resources?
P10812, This work was financed with: Own Resources (Total Amount S/.)
 P10821," Was this work financed with: Donation, gift, etc.?"
 P10822," He financed this work with: Donation, gift, etc. (Total Amount S/.)"
 P10831, Was this work financed with: Self-consumption or self-supply?
 P10832, Financed this work with: Self-consumption or self-supply (Total Amount S/.)
 P10841, Did you finance the work with: Other resources?
 P10842, He financed the work with: Other resources (Total Amount S/.)
 P10851, He did not spend on financing the Work
 P10861, Did you finance the work with: Credit?
 P10862, Financed the Work with: Credit (Total Amount S/.)
 P108A11, Own Roof Credit
 P108A12, Own Roof Amount
 P108A13, Cancelled Techo propio credit
 P108A21, Materials Bank Credit
 P108A22, Bank Materials Amount
 P108A23, Banco Materiales Cancelled
P108A31, My Home Credit
 P108A32, Amount My home
 P108A33, Cancelled My Housing
 P108A41, Private Bank Credit
 P108A42, Private Bank Amount
 P108A43, Private Bank Cancelled
 P108A51, Credit Other Inst.
 P108A52, Amount Other Inst.
 P108A53, Cancelled Another Inst.
 P110, The water supply in your home comes from:
 P111, The toilet in your home is connected to:
